STUDERRIA_SCHEDULE_V2
# ПЛЕД, 1 курс, 1 семестр, Київ. Джерело: затверджений розклад від 21.08.2026.
# Предмет | Тип | День | Пара | Тижні | Групи | Аудиторія
Академічна іноземна мова | семінар | понеділок | 1 | 2-5, 7-15 | 1 | 7-302а
Академічна іноземна мова | семінар | понеділок | 1 | 2-5, 7-15 | 2 | 7-307
Академічна іноземна мова | семінар | понеділок | 1 | 2-5, 7-15 | 3 | 7-302б
Академічна іноземна мова | семінар | понеділок | 2 | 2-5, 7-15 | 1 | 7-302а
Академічна іноземна мова | семінар | понеділок | 2 | 2-5, 7-15 | 2 | 7-307
Академічна іноземна мова | семінар | понеділок | 2 | 2-5, 7-15 | 3 | 7-302б
Прикладна математика для ухвалення рішень | лекція | понеділок | 3 | 2-15 | усі | 7-306
Прикладна математика для ухвалення рішень | практика | понеділок | 4 | 2, 4, 7, 8, 10, 14, 15 | 1 | 7-306
Прикладна математика для ухвалення рішень | практика | понеділок | 4 | 3, 5, 9, 11, 12, 13 | 2 | 7-306
Вступ до політології. Загальна теорія політики | лекція | вівторок | 2 | 2, 3, 5, 7, 8, 10, 12 | усі | 7-306
Вступ до політології. Загальна теорія політики | семінар | вівторок | 2 | 4, 9, 11, 13, 15 | 1 | 7-306
Вступ до політології. Загальна теорія політики | лекція | вівторок | 3 | 2 | усі | 7-306
Вступ до політології. Загальна теорія політики | семінар | вівторок | 3 | 4, 9, 11, 13, 15 | 2 | 7-306
Вступ до політології. Загальна теорія політики | семінар | вівторок | 4 | 15 | 1, 2 | 7-306
Вступ до політології. Загальна теорія політики | семінар | вівторок | 5 | 15 | 1, 2 | 7-306
Політична думка і теорія міжнародних відносин | лекція | середа | 3 | 1-4, 8, 10, 12 | усі | Онлайн
Політична думка і теорія міжнародних відносин | семінар | середа | 4 | 1-4, 8, 10, 12, 13 | 1 | Онлайн
Політична думка і теорія міжнародних відносин | семінар | середа | 5 | 1-4, 8, 10, 12, 13 | 2 | Онлайн
Міжнародні відносини і світова політика | лекція | четвер | 2 | 1-3, 7-10 | усі | 7-306
Міжнародні відносини і світова політика | семінар | четвер | 3 | 1-3, 7-10, 15 | 2 | 7-306
Українська мова за профільним спрямуванням. Академічне письмо і публічні виступи | семінар | четвер | 3 | 1-15 | 1 | 7-302
Міжнародні відносини і світова політика | семінар | четвер | 4 | 1-3, 7-10, 15 | 1 | 7-306
Українська мова за профільним спрямуванням. Академічне письмо і публічні виступи | семінар | четвер | 4 | 1-15 | 2 | 7-302
Публічна політика і публічна дипломатія | лекція | пʼятниця | 1 | 1, 3, 7, 9, 11, 13, 15 | усі | 7-306
Публічна політика і публічна дипломатія | семінар | пʼятниця | 2 | 1, 3, 7, 9, 11, 13, 15 | 1 | 7-306
Історія великих ідей | семінар | пʼятниця | 2 | 1, 3, 7, 9, 11, 13, 15 | 2 | 7-302
Публічна політика і публічна дипломатія | семінар | пʼятниця | 3 | 1, 3, 7, 9, 11, 13, 15 | 2 | 7-306
Історія великих ідей | семінар | пʼятниця | 3 | 1, 3, 7, 9, 11, 13, 15 | 1 | 7-302
Історія великих ідей | лекція | пʼятниця | 3 | 2, 4, 5, 8, 10, 12, 14 | усі | 7-306
Публічна історія України та українська ідентичність | лекція | пʼятниця | 4 | 2-5, 7-12 | усі | 7-306
Публічна історія України та українська ідентичність | семінар | пʼятниця | 5 | 2, 4, 7, 9, 11 | 2 | 7-306
Публічна історія України та українська ідентичність | семінар | пʼятниця | 5 | 3, 5, 8, 10, 12 | 1 | 7-306
