STUDERRIA_SCHEDULE_V2
# ПЛЕД, 3 курс, 1 семестр, Київ. Джерело: затверджений розклад від 22.08.2026.
# Предмет | Тип | День | Пара | Тижні | Групи | Аудиторія
Соціологія. Кількісні та якісні методи дослідження у поведінкових науках | семінар | понеділок | 4 | 2-5, 8-12, 15 | 2 | 7-202
Соціологія. Кількісні та якісні методи дослідження у поведінкових науках | лекція | понеділок | 5 | 2-5, 8-12, 15 | усі | 7-306
Соціологія. Кількісні та якісні методи дослідження у поведінкових науках | семінар | понеділок | 6 | 2-5, 8-12, 15 | 1 | 7-306
Міжнародний бізнес. Міжнародні фінанси | семінар | вівторок | 1 | 11-15 | 1, 2 | 7-302
Міжнародний бізнес. Міжнародні фінанси | семінар | вівторок | 2 | 1-15 | 1 | 7-302
Міжнародний бізнес. Міжнародні фінанси | лекція | вівторок | 3 | 1-4, 8-13 | усі | 7-302
Міжнародний бізнес. Міжнародні фінанси | семінар | вівторок | 4 | 1-15 | 2 | 7-302
Політичні системи країн ЛАКБ | лекція | середа | 1 | 1-5, 8-12 | усі | 7-307
Політичні системи країн ЛАКБ | семінар | середа | 2 | 1-15 | 1, 2 | 7-307
Саморозвиток Лідера та Практики командотворення | семінар | середа | 3 | 2-4, 8-13, 15 | 1 | 7-306
Саморозвиток Лідера та Практики командотворення | лекція | середа | 4 | 2-4, 8, 9 | усі | 7-302
Саморозвиток Лідера та Практики командотворення | семінар | середа | 5 | 2-4, 8-13, 15 | 2 | 7-302
Міжнародне публічне право. Міжнародне економічне право, англійською | лекція | четвер | 2 | 1-5, 7-11 | усі | Онлайн
Інституції ЄС і ухвалення політичних рішень | лекція | четвер | 3 | 2-5, 8-13 | усі | Онлайн
Інституції ЄС і ухвалення політичних рішень | семінар | четвер | 4 | 2-15 | 1, 2 | Онлайн
Міжнародне публічне право. Міжнародне економічне право, англійською | семінар | четвер | 5 | 1-5, 8-12 | 1 | Онлайн
Міжнародне публічне право. Міжнародне економічне право, англійською | семінар | четвер | 6 | 1-5, 8-12 | 2 | Онлайн
Друга іноземна мова | семінар | пʼятниця | 1 | 1-15 | 1 | Онлайн
Друга іноземна мова | семінар | пʼятниця | 2 | 1-15 | 1 | Онлайн
Друга іноземна мова | семінар | пʼятниця | 3 | 1-15 | 2 | Онлайн
Друга іноземна мова | семінар | пʼятниця | 4 | 1-15 | 2 | Онлайн
Стратегічні комунікації і GR | семінар | субота | 1 | 11-15 | 1, 2 | Онлайн
Стратегічні комунікації і GR | лекція | субота | 2 | 1-4, 8-13 | усі | Онлайн
Стратегічні комунікації і GR | семінар | субота | 3 | 1-15 | 1, 2 | Онлайн
