"externalId";"title";"slug";"categorySlug";"basePrice";"priceFrom";"variants";"shortDescription";"imagePaths";"telegramUrl"
"telegram-6";"Перенос вогню / упор 45°";"perenos-vogniu-upor-45";"strajkbol";"360";"false";"";"3D-друк";"images/telegram/6-01.jpg | images/telegram/6-02.jpg";"https://t.me/naradaprint/6"
"telegram-9";"Страйкбольний ніж";"strajkbolnyi-nizh";"strajkbol";"265";"false";"";"Пластик";"images/telegram/9-01.jpg | images/telegram/9-02.jpg | images/telegram/9-03.jpg";"https://t.me/naradaprint/9"
"telegram-16";"Полум’ягасник 14 мм";"polumiagasnyk-14-mm";"strajkbol";"145";"false";"";"14мм різьба";"images/telegram/16-01.jpg | images/telegram/16-02.jpg | images/telegram/16-03.jpg";"https://t.me/naradaprint/16"
"telegram-19";"Захист прицілу 30 мм";"zakhyst-prytsilu-30-mm";"strajkbol";"60";"false";"";"60 грн";"images/telegram/19-01.jpg | images/telegram/19-02.jpg | images/telegram/19-03.jpg";"https://t.me/naradaprint/19"
"telegram-22";"Кріплення-кобура для AR";"kriplennia-kobura-ar";"strajkbol";"230";"false";"";"Швидка фіксація або навпаки швидкий доступ до нього";"images/telegram/22-01.jpg | images/telegram/22-02.jpg | images/telegram/22-03.jpg";"https://t.me/naradaprint/22"
"telegram-25";"Настінне кріплення для привода";"nastinne-kriplennia-pryvoda";"strajkbol";"350";"true";"";"Кольори: чорний/білий/прозорий";"images/telegram/25-01.jpg | images/telegram/25-02.jpg | images/telegram/25-03.jpg";"https://t.me/naradaprint/25"
"telegram-29";"Speedloader для GBB Glock";"speedloader-gbb-glock";"strajkbol";"50";"false";"";"50 грн";"images/telegram/29-01.jpg | images/telegram/29-02.jpg | images/telegram/29-03.jpg";"https://t.me/naradaprint/29"
"telegram-33";"Підставка під 6 магазинів AR/M";"pidstavka-6-magazyniv-ar-m";"strajkbol";"410";"false";"";"410 грн";"images/telegram/33-01.jpg | images/telegram/33-02.jpg";"https://t.me/naradaprint/33"
"telegram-36";"Швидкознімний упор M-LOK";"shvydkoznimnyi-upor-m-lok";"strajkbol";"170";"false";"";"Без кріплення на болти";"images/telegram/36-01.jpg | images/telegram/36-02.jpg | images/telegram/36-03.jpg";"https://t.me/naradaprint/36"
"telegram-40";"Тактична рукоятка";"taktychna-rukoiatka";"strajkbol";"";"false";"M-LOK із болтами: 255 | Picatinny без болтів: 230";"255 грн";"images/telegram/40-01.jpg | images/telegram/40-02.jpg | images/telegram/40-03.jpg";"https://t.me/naradaprint/40"
